Country ,# of Subscribers - 2019,# of Subscribers - Q1 2020,Average Monthly Revenue per Paying Membership - Q1 2020 ($),Q1 2020 Revenue ($),# of Subscribers Q2 2020 ,Average Monthly Revenue per Paying Membership - Q2 2020 ($),Q2 2020 Revenue $ ,# of Subscribers Q3 2020 ,Average Monthly Revenue per Paying Membership - Q3 2020 ($),Q3 2020 Revenue $ ,# of Subscribers Q4 2020 ,Average Monthly Revenue per Paying Membership - Q4 2020 ($),Q4 2020 Revenue $ ,# of Subscribers Q1 2021 ,Average Monthly Revenue per Paying Membership - Q1 2021 ($),Q1 2021 Revenue $ ,# of Subscribers Q2 2021,Average Monthly Revenue per Paying Membership - Q2 2021 ($),Q2 2021 Revenue $ ,# of Subscribers Q3 2021 (Estimate),Q3 2021 Revenue $ (Estimate) ,# of Subscribers Q4 2021 (Estimate),Q4 2021 Revenue $ (Estimate) ,,Source,Data Details,Date From,,Additional Notes
Argentina ,,"4,500,000",8.05,"108,675,000","4,729,500 ",7.44,"105,562,440","4,763,079",7.27,"103,882,763","4,922,643 ",7.12,"105,147,646","4,968,423 ",7.39,"110,149,942","5,069,282",7.50,"114,058,849","5,154,101","115,967,282","5,240,340","117,907,646",,https://www.clarin.com/tecnologia/argentina-10-paises-suscriptores-netflix-mundo_0_gqaLXSjU.html,Came from Reed Hastings,Feb 2020 (Q1 2020),,
Australia,,,,,,,,"5,400,000",9.20,"149,040,000","5,856,300 ",9.32,"163,742,148","6,169,026 ",9.71,"179,703,740","6,405,917",9.74,"187,180,896","6,513,101","190,312,806","6,622,078","193,497,120",,https://www.telsyte.com.au/announcements/2020/08/17/subscription-home-entertainment-soars-in-australia,,Aug 2020 (Q3 2020),,
Austria,,,,,,,,,,,,,,"927,420 ",11.56,"32,162,926","930,017",11.66,"32,531,987","945,578","33,076,312","961,399","33,629,745",,https://rm.coe.int/trends-in-the-vod-market-in-eu28-final-version/1680a1511a,"2,378,000 subscribers to SVOD services. 39% subscribe to Netflix. Trends in the VOD Market in EU28. European Audiovisual Observatory (OAS) ",Jan 2021 (Q1 2021),,
Belgium,,,,,,,,,,,,,,"1,639,040 ",11.56,"56,841,907","1,643,629",11.66,"57,494,153","1,671,131","58,456,146","1,699,092","59,434,234",,https://rm.coe.int/trends-in-the-vod-market-in-eu28-final-version/1680a1511a,"3,152,000 subscribers to SVOD services. 52% subscribe to Netflix. Trends in the VOD Market in EU28. European Audiovisual Observatory (OAS) ",Jan 2021 (Q1 2021),,
Brazil,,,,,"17,000,000 ",7.44,"379,440,000","17,120,700",7.27,"373,402,467","17,694,243 ",7.12,"377,949,040","17,858,800 ",7.39,"395,929,594","18,221,334",7.50,"409,980,005","18,526,213","416,839,790","18,836,193","423,814,354",,https://olhardigital.com.br/en/2020/09/18/news/netflix%27s-revenue-in-brazil-should-surpass-the-globe-in-2022/,Wall Street analysts,June 2020 (Q2 2020),,
Bulgaria,,,,,,,,,,,,,,"171,600 ",11.56,"5,951,088","172,080",11.66,"6,019,375","174,960","6,120,091","177,887","6,222,493",,https://rm.coe.int/trends-in-the-vod-market-in-eu28-final-version/1680a1511a,"440,000 subscribers to SVOD services. 39% subscribe to Netflix. Trends in the VOD Market in EU28. European Audiovisual Observatory (OAS) ",Jan 2021 (Q1 2021),,
Canada,,,,,,,,,,,,,,"6,709,076 ",14.25,"286,812,999","6,670,163",14.54,"290,952,526","6,781,769","295,820,743","6,895,241","300,770,416",,https://s22.q4cdn.com/959853165/files/doc_financials/2021/q1/FINAL-Q1-21-Shareholder-Letter.pdf,"Used the percentage of US users to Canadian users in the 2019 10-K report. So, of 67,662,000 users 61,043,000 were US users. So 9.02% are Canadian. 

Based on the latest UCAN figures, that means 6,709,076 users are Canadian and 67,670,924 are American. ",Q1 2021,,
Chile,"769,000","839,979",8.05,"20,285,486","882,818 ",7.44,"19,704,489","889,086",7.27,"19,390,957","918,870 ",7.12,"19,627,063","927,415 ",7.39,"20,560,801","946,242",7.50,"21,290,445","962,075","21,646,677","978,172","22,008,869",,https://www.digitaltvresearch.com/ugc/Latin%20America%20OTT%20TV%20and%20Video%20Forecasts%202018%20TOC_toc_210.pdf,"Estimated figure for 2019 -- in line with predictions for 2023, too (969k)",2019,,
Colombia,"2,219,737","2,424,619",8.05,"58,554,542","2,548,274 ",7.44,"56,877,482","2,566,367",7.27,"55,972,465","2,652,340 ",7.12,"56,653,989","2,677,007 ",7.39,"59,349,247","2,731,350",7.50,"61,455,382","2,777,051","62,483,654","2,823,517","63,529,130",,"https://www.crcom.gov.co/uploads/images/files/ESTUDIO-OTT-COLOMBIA.pdf 
https://www.euromonitor.com/colombia/country-factfile","Government study suggests 13 percent of households have paid access to Netflix. 2 percent watch content from an account outside of their home. 17,074,900 households in Colombia.",2019,,2 million viewers has also been quoted: https://revistadiners.com.co/cultura/cine/78762_netflix-colombia-los-mejores-trucos-que-debe-saber/ 
Costa Rica,"242,000","264,337",8.05,"6,383,729","277,818 ",7.44,"6,200,893","279,790",7.27,"6,102,226","289,163 ",7.12,"6,176,527","291,852 ",7.39,"6,470,369","297,777",7.50,"6,699,984","302,759","6,812,088","307,825","6,926,068",,https://www.globenewswire.com/news-release/2020/03/11/1998700/0/en/Latin-American-OTT-TV-and-Video-Insights-2010-2025-by-Household-Penetration-SVOD-Subscribers-and-OTT-Revenues-for-Movies-TV-Episodes.html,Estimate for end 2019,2019,,
